"ward","crimes","year"
"27","12952","2010"
"28","16842","2010"
"29","8913","2010"
"30","5399","2010"
"31","5497","2010"
"32","6572","2010"
"33","4090","2010"
"34","10686","2010"
"35","5147","2010"
"36","4083","2010"
"37","10327","2010"
"38","4013","2010"
"39","3687","2010"
"40","3775","2010"
"41","3502","2010"
"42","13409","2010"
"43","4678","2010"
"44","5147","2010"
"45","3673","2010"
"46","4604","2010"
"47","3875","2010"
"48","3591","2010"
"49","5126","2010"
"50","3956","2010"
"1","6649","2011"
"2","12630","2011"
"3","9277","2011"
"4","6004","2011"
"5","8634","2011"
"6","11550","2011"
"7","9839","2011"
"8","9579","2011"
"9","8969","2011"
"10","6544","2011"
"11","4921","2011"
"12","4354","2011"
"13","4630","2011"
"14","5365","2011"
"15","10932","2011"
"16","10472","2011"
"17","12185","2011"
"18","6208","2011"
"19","2983","2011"
"20","11894","2011"
"21","10401","2011"
"22","4224","2011"
"23","4217","2011"
"24","13218","2011"
"25","4761","2011"
"26","5993","2011"
"27","11570","2011"
"28","15559","2011"
"29","8906","2011"
"30","4998","2011"
"31","4953","2011"
"32","5992","2011"
"33","3646","2011"
"34","10209","2011"
"35","4601","2011"
"36","3673","2011"
"37","9505","2011"
"38","3814","2011"
"39","3283","2011"
"40","3399","2011"
"41","3583","2011"
"42","13526","2011"
"43","4435","2011"
"44","5209","2011"
"45","3416","2011"
"46","4440","2011"
"47","3593","2011"
"48","3384","2011"
"49","4738","2011"
"50","3584","2011"
"1","6182","2012"
"2","12151","2012"
"3","8486","2012"
"4","5309","2012"
"5","8319","2012"
"6","11322","2012"
"7","9058","2012"
"8","9100","2012"
"9","8611","2012"
"10","6082","2012"
"11","4597","2012"
"12","4017","2012"
"13","4187","2012"
"14","4525","2012"
"15","9650","2012"
"16","9499","2012"
"17","11274","2012"
"18","5327","2012"
"19","2888","2012"
"20","10835","2012"
"21","9765","2012"
"22","3887","2012"
"23","3992","2012"
"24","13467","2012"
"25","4740","2012"
"26","5712","2012"
"27","11508","2012"
"28","15482","2012"
"29","8040","2012"
"30","4712","2012"
"31","4693","2012"
"32","5500","2012"
"33","3331","2012"
"34","9482","2012"
"35","4315","2012"
"36","3381","2012"
"37","8930","2012"
"38","3451","2012"
"39","3019","2012"
"40","3335","2012"
"41","3423","2012"
"42","13614","2012"
"43","4205","2012"
"44","5406","2012"
"45","3422","2012"
"46","4758","2012"
"47","3274","2012"
"48","3268","2012"
"49","4513","2012"
"50","3289","2012"
